0.999699,0.326007
0.998495,0.319561
0.99609,0.280038
0.99249,0.238895
0.987704,0.200887
0.981743,0.169261
0.974621,0.133718
0.966356,0.107454
0.956967,0.0754028
0.946478,0.0464352
0.934913,0.0161493
0.9223,-0.0134131
0.90867,-0.0435268
0.894054,-0.0745747
0.878491,-0.104322
0.862015,-0.134471
0.844666,-0.166056
0.826488,-0.196931
0.807523,-0.227827
0.787817,-0.261668
0.767418,-0.293352
0.746374,-0.321892
0.724738,-0.35023
0.70256,-0.377025
0.679893,-0.389313
0.656794,-0.393773
0.633316,-0.416784
0.609517,-0.60739
0.585455,-1.09204
0.561187,-1.26715
0.536771,-1.2757
0.512267,-1.26328
0.487733,-1.2452
0.463228,-1.22914
0.438813,-1.2154
0.414545,-1.20186
0.390483,-1.1895
0.366684,-1.18002
0.343206,-1.17035
0.320106,-1.1585
0.29744,-1.14842
0.275262,-1.13942
0.253626,-1.13135
0.232582,-1.12326
0.212182,-1.11455
0.192476,-1.10555
0.173512,-1.09904
0.155334,-1.09226
0.137985,-1.08372
0.121509,-1.07576
0.105945,-1.07266
0.0913305,-1.07396
0.0777005,-1.07761
0.0650875,-1.08384
0.053522,-1.08699
0.0430325,-1.08361
0.033644,-1.0761
0.025379,-1.05115
0.018257,-0.992802
0.0122955,-0.87526
0.0075095,-0.727818
0.00391,-0.473884
0.001505,0.00962183
0.000301,0.482196
0.000301,0.884229
0.001505,0.984981
0.00391,1.02807
0.0075095,0.887065
0.0122955,0.754229
0.018257,0.654271
0.025379,0.56042
0.033644,0.469815
0.0430325,0.400376
0.053522,0.33666
0.0650875,0.277307
0.0777005,0.227732
0.0913305,0.179492
0.105945,0.14013
0.121509,0.105451
0.137985,0.0695145
0.155334,0.0363555
0.173512,0.00378325
0.192476,-0.026568
0.212182,-0.0563007
0.232582,-0.0885589
0.253626,-0.119455
0.275262,-0.149494
0.29744,-0.182861
0.320106,-0.213993
0.343206,-0.240566
0.366684,-0.259597
0.390483,-0.271129
0.414545,-0.269636
0.438813,-0.248938
0.463228,-0.210004
0.487733,-0.172715
0.512267,-0.129128
0.536771,-0.0810585
0.561187,-0.037005
0.585455,-0.00194602
0.609517,0.0373404
0.633316,0.0742156
0.656794,0.109923
0.679893,0.143566
0.70256,0.174235
0.724738,0.203121
0.746374,0.230389
0.767418,0.253456
0.787817,0.274358
0.807523,0.293627
0.826488,0.311129
0.844666,0.32656
0.862015,0.341313
0.878491,0.355969
0.894054,0.365495
0.90867,0.375639
0.9223,0.382685
0.934913,0.384778
0.946478,0.388108
0.956967,0.389148
0.966356,0.387635
0.974621,0.383797
0.981743,0.379172
0.987704,0.375184
0.99249,0.374115
0.99609,0.375229
0.998495,0.383546
0.999699,0.384938
