"x","Cp"
1,0.30291
0.9994,0.85596
0.99759,0.6198
0.99459,0.45756
0.99039,0.33835
0.98502,0.26512
0.97847,0.21017
0.97077,0.16575
0.96194,0.12819
0.952,0.093211
0.94096,0.059875
0.92886,0.025914
0.91573,-0.0079805
0.9016,-0.041529
0.8865,-0.074432
0.87048,-0.10693
0.85355,-0.13894
0.83578,-0.17108
0.8172,-0.20322
0.79785,-0.23514
0.77778,-0.26691
0.75705,-0.2974
0.7357,-0.32628
0.71378,-0.35286
0.69134,-0.37491
0.66844,-0.39235
0.64514,-0.4059
0.62149,-0.44101
0.59754,-0.68105
0.57337,-1.1888
0.54901,-1.3206
0.52453,-1.3062
0.5,-1.2787
0.47547,-1.2571
0.45099,-1.2401
0.42663,-1.226
0.40246,-1.2147
0.37851,-1.2038
0.35486,-1.1924
0.33155,-1.1816
0.30866,-1.1712
0.28622,-1.1618
0.2643,-1.1531
0.24295,-1.1461
0.22221,-1.1389
0.20215,-1.1317
0.1828,-1.125
0.16422,-1.1198
0.14645,-1.1152
0.12952,-1.112
0.11349,-1.1109
0.098396,-1.1092
0.084265,-1.1067
0.071136,-1.107
0.059039,-1.1044
0.048005,-1.1015
0.03806,-1.1079
0.029228,-1.1131
0.02153,-1.0815
0.014984,-1.0032
0.009607,-0.86134
0.005412,-0.63854
0.002408,-0.22788
0.000602,0.35578
0,0.77947
0.000602,1.0595
0.002408,1.1261
0.005412,1.0401
0.009607,0.8724
0.014984,0.72482
0.02153,0.61915
0.029228,0.53876
0.03806,0.46178
0.048005,0.39538
0.059039,0.33085
0.071136,0.27442
0.084265,0.22501
0.098396,0.17674
0.11349,0.13742
0.12952,0.10078
0.14645,0.063892
0.16422,0.029187
0.1828,-0.0035127
0.20215,-0.033312
0.22221,-0.063079
0.24295,-0.096437
0.2643,-0.128
0.28622,-0.16019
0.30866,-0.194
0.33155,-0.22431
0.35486,-0.24801
0.37851,-0.26026
0.40246,-0.26686
0.42663,-0.25135
0.45099,-0.22229
0.47547,-0.18823
0.5,-0.14798
0.52453,-0.10266
0.54901,-0.057514
0.57337,-0.013132
0.59754,0.031136
0.62149,0.069476
0.64514,0.10062
0.66844,0.13166
0.69134,0.16302
0.71378,0.19252
0.7357,0.21998
0.75705,0.24564
0.77778,0.26845
0.79785,0.28898
0.8172,0.30829
0.83578,0.32642
0.85355,0.34292
0.87048,0.35886
0.8865,0.37321
0.9016,0.38384
0.91573,0.39532
0.92886,0.40231
0.94096,0.40873
0.952,0.41514
0.96194,0.4217
0.97077,0.42905
0.97847,0.43848
0.98502,0.45499
0.99039,0.48648
0.99459,0.55896
0.99759,0.60189
0.9994,0.992
